 3.44000000000000E+0000  2.43721191406250E+0001 -1.27985351562500E+0001 
 3.94000000000000E+0000  2.70803222656250E+0001 -1.44024414062500E+0001 
 4.44000000000000E+0000  2.97322265625000E+0001 -1.59796875000000E+0001 
 4.94000000000000E+0000  3.23469238281250E+0001 -1.75283203125000E+0001 
 5.44000000000000E+0000  3.49378417968750E+0001 -1.90469726562500E+0001 
 5.94000000000000E+0000  3.75038574218750E+0001 -2.05309082031250E+0001 
 6.44000000000000E+0000  4.00090332031250E+0001 -2.19679687500000E+0001 
 6.94000000000000E+0000  4.23949707031251E+0001 -2.33265625000000E+0001 
 7.44000000000000E+0000  4.45676269531250E+0001 -2.45612792968750E+0001 
 7.94000000000000E+0000  4.64229003906250E+0001 -2.56119628906250E+0001 
 8.44000000000000E+0000  4.78645996093750E+0001 -2.64177734375000E+0001 
 8.94000000000000E+0000  4.88434082031250E+0001 -2.69390136718750E+0001 
 9.44000000000000E+0000  4.93710937500000E+0001 -2.71707031250000E+0001 
 9.94000000000000E+0000  4.95321777343750E+0001 -2.71495117187500E+0001 
 1.04400000000000E+0001  4.94546386718749E+0001 -2.69468750000000E+0001 
 1.09400000000000E+0001  4.92748046875000E+0001 -2.66361816406249E+0001 
 1.14400000000000E+0001  4.91013671875001E+0001 -2.62770996093750E+0001 
 1.19400000000000E+0001  4.89960449218750E+0001 -2.59042968750000E+0001 
 1.24400000000000E+0001  4.89869628906249E+0001 -2.55312011718750E+0001 
 1.29400000000000E+0001  4.90713867187500E+0001 -2.51672851562500E+0001 
 1.34400000000000E+0001  4.92287597656249E+0001 -2.48213378906250E+0001 
 1.39400000000000E+0001  4.94261230468750E+0001 -2.45005859375000E+0001 
 1.44400000000000E+0001  4.96335937500001E+0001 -2.42142578125000E+0001 
 1.49400000000000E+0001  4.98259277343749E+0001 -2.39627929687500E+0001 
 1.54400000000000E+0001  4.99857421875000E+0001 -2.37386718750000E+0001 
 1.59400000000000E+0001  5.01126464843750E+0001 -2.35332519531250E+0001 
 1.64400000000000E+0001  5.02086425781250E+0001 -2.33324707031250E+0001 
 1.69400000000000E+0001  5.02838867187500E+0001 -2.31247558593750E+0001 
 1.74400000000000E+0001  5.03487304687501E+0001 -2.29097167968750E+0001 
 1.79400000000000E+0001  5.04111816406250E+0001 -2.26903808593750E+0001 
